fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,5,20,55,48,0.11,29.27,-2.95,5.51,1,0.0,100.0,50.0,1,0.970548
1,1758902400000,1766088000000,1766102400000,1768968000000,10,60,58,45,3.14,32.51,-15.67,18.16,3,0.0,60.0,50.0,5,0.818463
2,1761782400000,1768968000000,1768982400000,1771848000000,12,40,52,48,3.24,35.46,-13.78,14.41,4,0.0,80.0,57.14,4,0.705702
3,1764662400000,1771848000000,1771862400000,1774728000000,15,60,52,45,-28.15,-9.23,-0.37,11.58,2,50.0,100.0,100.0,0,0.703075
