fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,12,40,58,42,4.16,11.64,-7.74,10.23,3,33.33,60.0,50.0,5,0.922564
1,1758902400000,1766088000000,1766102400000,1768968000000,8,50,55,48,-15.52,5.2,5.16,4.69,5,40.0,55.56,55.56,8,0.97015
2,1761782400000,1768968000000,1768982400000,1771848000000,8,40,55,48,-19.95,-0.94,-3.52,4.77,3,0.0,60.0,50.0,5,0.935986
3,1764662400000,1771848000000,1771862400000,1774728000000,15,60,55,48,-7.16,4.08,-2.12,7.49,4,50.0,66.67,36.36,9,0.916164
