fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,8,50,52,48,24.06,33.45,-13.58,18.38,4,25.0,66.67,44.44,7,0.864162
1,1758902400000,1766088000000,1766102400000,1768968000000,5,50,58,48,-4.0,8.45,10.1,5.14,5,80.0,83.33,62.5,4,0.951478
2,1761782400000,1768968000000,1768982400000,1771848000000,10,20,58,48,-7.14,8.01,-4.24,7.85,3,33.33,75.0,50.0,4,0.911141
3,1764662400000,1771848000000,1771862400000,1774728000000,15,30,58,45,-8.7,5.54,-10.27,13.15,3,0.0,42.86,60.0,6,0.817575
