ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
10,30,52,58,46,0.8,96,21,37,11,11,7,63.64,52.38,29.73,11,11,38,10,28,18,59,429,-2.1222,-13.59,27.51,-57.25,0.8641177635168118
7,30,52,58,46,0.8,96,21,37,11,11,7,63.64,52.38,29.73,11,11,38,10,28,16,59,430,-2.1271,-13.59,27.51,-57.26,0.8640745576286364
10,30,60,58,46,0.4,96,21,33,10,10,6,60.0,47.62,30.3,10,10,35,11,24,15,51,390,-1.9312,-16.57,24.51,-57.33,0.8342620780542469
7,20,52,58,46,0.4,24,26,54,8,8,4,50.0,30.77,14.81,8,8,64,18,46,29,94,241,-1.1978,-13.47,24.43,-57.43,0.8652909956412294
7,30,60,66,46,0.4,96,7,14,5,5,2,40.0,71.43,35.71,5,5,12,2,10,2,20,243,-1.2077,-20.45,24.66,-57.55,0.7954927794304764
7,30,60,66,46,0.8,96,7,14,5,5,2,40.0,71.43,35.71,5,5,12,2,10,2,20,243,-1.2077,-20.45,24.66,-57.55,0.7954927794304764
10,30,60,66,46,0.4,96,7,14,5,5,2,40.0,71.43,35.71,5,5,12,2,10,3,20,244,-1.2126,-20.45,24.67,-57.56,0.7954530047915048
10,30,60,66,46,0.8,96,7,14,5,5,2,40.0,71.43,35.71,5,5,12,2,10,3,20,244,-1.2126,-20.45,24.67,-57.56,0.7954530047915048
10,20,52,58,42,0.8,24,24,56,8,8,4,50.0,33.33,14.29,8,8,64,16,48,23,97,262,-1.3015,-13.69,24.79,-57.72,0.8631094913649197
7,20,52,62,38,0.4,48,12,19,6,6,3,50.0,50.0,31.58,6,6,19,6,13,9,29,272,-1.3508,-14.59,26.89,-57.78,0.8541016090687663
7,20,52,62,38,0.8,48,12,19,6,6,3,50.0,50.0,31.58,6,6,19,6,13,9,29,272,-1.3508,-14.59,26.89,-57.78,0.8541016090687663
10,20,52,62,38,0.4,48,12,19,6,6,3,50.0,50.0,31.58,6,6,19,6,13,8,29,272,-1.3508,-14.59,26.89,-57.78,0.8541016090687663
10,20,52,62,38,0.8,48,12,19,6,6,3,50.0,50.0,31.58,6,6,19,6,13,8,29,272,-1.3508,-14.59,26.89,-57.78,0.8541016090687663
7,20,60,58,42,0.4,96,22,16,9,9,5,55.56,40.91,56.25,9,9,21,13,8,23,17,371,-1.8379,-17.18,24.69,-57.86,0.8282497725234687
10,30,52,58,38,0.8,48,22,23,9,9,5,55.56,40.91,39.13,9,9,27,13,14,21,31,354,-1.7545,-13.86,26.89,-58.03,0.8613914951187263
7,30,52,58,38,0.8,48,22,23,9,9,5,55.56,40.91,39.13,9,9,27,13,14,20,31,355,-1.7594,-13.87,26.89,-58.04,0.8613484255439701
7,30,60,62,46,0.4,96,13,27,7,7,4,57.14,53.85,25.93,7,7,27,6,21,10,44,339,-1.6808,-18.0,24.62,-58.17,0.8200241308914527
7,30,60,62,46,0.8,96,13,27,7,7,4,57.14,53.85,25.93,7,7,27,6,21,10,44,339,-1.6808,-18.0,24.62,-58.17,0.8200241308914527
