ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
7,20,60,66,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,9,-0.045,2.08,0.31,1.7,1.0207600628128946
7,20,60,66,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,9,-0.045,2.08,0.31,1.7,1.0207600628128946
7,20,60,66,46,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,9,-0.045,2.08,0.31,1.7,1.0207600628128946
10,20,60,66,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,8,-0.04,2.08,0.31,1.7,1.020811103368063
10,20,60,66,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,8,-0.04,2.08,0.31,1.7,1.020811103368063
10,20,60,66,46,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,8,-0.04,2.08,0.31,1.7,1.020811103368063
10,30,60,58,42,0.8,24,11,8,8,8,5,62.5,72.73,100.0,8,8,3,3,0,0,0,133,-0.6628,11.27,4.69,1.55,1.112708092231058
10,20,60,62,46,0.8,24,9,8,8,8,6,75.0,88.89,100.0,8,8,1,1,0,0,0,104,-0.5187,8.5,4.45,1.49,1.0849501469764637
10,20,60,62,42,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,25,-0.1249,4.4,2.52,1.37,1.0439831533311417
10,20,60,62,42,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,25,-0.1249,4.4,2.52,1.37,1.0439831533311417
10,20,60,62,42,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,25,-0.1249,4.4,2.52,1.37,1.0439831533311417
7,20,60,62,42,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,26,-0.1299,4.39,2.52,1.36,1.0439309541734751
7,20,60,62,42,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,26,-0.1299,4.39,2.52,1.36,1.0439309541734751
7,20,60,62,42,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,26,-0.1299,4.39,2.52,1.36,1.0439309541734751
10,20,60,58,42,0.8,24,13,12,11,11,10,90.91,84.62,91.67,11,11,3,2,1,0,3,209,-1.0396,15.23,9.3,1.35,1.1523142442236423
10,20,60,62,42,0.8,24,9,9,8,8,6,75.0,88.89,88.89,8,8,2,1,1,0,3,153,-0.7621,8.79,4.45,1.23,1.087943327692401
7,20,60,66,42,0.8,24,5,7,5,5,4,80.0,100.0,71.43,5,5,2,0,2,0,5,104,-0.5187,7.82,4.31,1.22,1.0782373078739618
7,20,60,66,38,0.8,24,5,7,5,5,4,80.0,100.0,71.43,5,5,2,0,2,0,5,125,-0.6231,7.8,4.31,1.2,1.0780068461623193
10,20,52,62,38,0.8,24,8,8,7,7,5,71.43,87.5,87.5,7,7,2,1,1,0,3,161,-0.8018,9.44,4.8,1.18,1.094444753927881
7,30,52,58,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,58,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,58,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,62,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,62,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,62,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,62,38,0.8,24,6,6,6,6,4,66.67,100.0,100.0,6,6,0,0,0,0,0,136,-0.6777,6.29,4.81,0.52,1.062899867135036
10,30,52,62,38,0.8,24,6,6,6,6,4,66.67,100.0,100.0,6,6,0,0,0,0,0,137,-0.6827,6.28,4.81,0.52,1.0628467221416793
10,30,52,58,46,0.8,48,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,136,-0.6777,10.53,8.36,0.49,1.105269757941648
7,20,60,62,46,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,24,-0.1199,3.38,2.52,0.35,1.0337904735632735
7,20,60,62,46,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,24,-0.1199,3.38,2.52,0.35,1.0337904735632735
7,20,60,62,46,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,24,-0.1199,3.38,2.52,0.35,1.0337904735632735
10,20,60,62,46,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,23,-0.1149,3.38,2.52,0.35,1.033842165671557
10,20,60,62,46,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,23,-0.1149,3.38,2.52,0.35,1.033842165671557
10,20,60,62,46,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,23,-0.1149,3.38,2.52,0.35,1.033842165671557
7,30,52,58,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,58,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,58,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,62,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,62,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,62,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,58,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,58,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,58,46,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,62,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,62,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,62,46,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,20,60,66,46,0.8,24,5,6,5,5,4,80.0,100.0,83.33,5,5,1,0,1,0,2,78,-0.3893,6.12,4.31,0.11,1.061188443046053
7,30,52,62,46,0.8,24,6,6,6,6,4,66.67,100.0,100.0,6,6,0,0,0,0,0,88,-0.439,5.4,4.45,0.06,1.0540192721189883
7,30,52,58,46,0.8,48,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,133,-0.6628,11.45,8.36,0.05,1.1144645068667243
10,30,52,62,46,0.8,24,6,6,6,6,4,66.67,100.0,100.0,6,6,0,0,0,0,0,89,-0.444,5.4,4.45,0.05,1.0539665711553823
10,20,60,58,38,0.4,24,17,18,15,15,12,80.0,88.24,83.33,15,15,5,2,3,1,8,360,-1.7839,13.71,9.3,-0.05,1.1370778866452111
10,30,60,58,46,0.8,48,11,8,8,8,6,75.0,72.73,100.0,8,8,3,3,0,0,0,112,-0.5584,13.4,7.81,-0.06,1.1339548168718945
10,30,60,58,46,0.8,96,11,8,8,8,6,75.0,72.73,100.0,8,8,3,3,0,0,0,112,-0.5584,13.4,7.81,-0.06,1.1339548168718945
10,20,60,62,38,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,81,-0.4042,5.76,4.88,-0.09,1.057642511089862
7,20,60,62,38,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,82,-0.4092,5.76,4.88,-0.1,1.0575896289643074
7,20,60,58,46,0.8,24,13,13,13,13,9,69.23,100.0,100.0,13,13,0,0,0,0,0,182,-0.9059,10.66,9.3,-0.5,1.1066065322778624
7,20,52,66,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,25,-0.1249,2.3,2.34,-0.52,1.0229736605910886
7,20,60,66,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,25,-0.1249,2.3,2.34,-0.52,1.0229736605910886
10,20,60,62,38,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,64,-0.3195,5.29,4.88,-0.56,1.0529169024993799
