fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_ma_fast,best_ma_mid,best_ma_slow,best_rsi_short,best_rsi_cover,best_vol_min_pct,best_max_hold_bars,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,test_funding_bars,test_funding_carry_pct,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,7,30,52,62,38,0.8,48,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,10,20,60,58,42,0.8,48,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,10,20,52,62,46,0.8,96,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,7,30,60,58,42,0.4,96,-18.96,-6.83,-0.69,7.12,1,0.0,100.0,100.0,0,0,0,56,-0.2796,0.993105
4,1752148800000,1762214400000,1762228800000,1763942400000,10,20,52,58,46,0.4,96,-3.2,2.43,0.13,2.75,1,100.0,100.0,100.0,0,0,0,12,-0.06,0.994398
5,1753876800000,1763942400000,1763956800000,1765670400000,7,20,52,66,38,0.4,48,1.79,4.17,0.88,4.84,1,100.0,100.0,100.0,0,0,0,49,-0.2447,1.003109
6,1755604800000,1765670400000,1765684800000,1767398400000,10,20,60,62,38,0.8,24,6.57,10.09,1.17,1.96,1,100.0,100.0,100.0,0,0,0,25,-0.1249,1.014891
7,1757332800000,1767398400000,1767412800000,1769126400000,7,20,60,62,38,0.4,24,9.45,13.68,-3.7,5.87,1,0.0,100.0,33.33,2,0,5,30,-0.1499,0.977381
8,1759060800000,1769126400000,1769140800000,1770854400000,10,20,60,62,38,0.8,24,7.04,11.4,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.977381
9,1760788800000,1770854400000,1770868800000,1772582400000,7,20,60,58,38,0.8,24,7.05,11.4,4.13,2.52,2,100.0,100.0,200.0,0,0,0,24,-0.1199,1.01776
10,1762516800000,1772582400000,1772596800000,1774310400000,10,20,60,58,46,0.8,48,7.79,10.89,-5.42,8.36,1,0.0,100.0,100.0,0,0,0,49,-0.2447,0.962632
11,1764244800000,1774310400000,1774324800000,1776038400000,10,20,60,62,38,1.2,96,-0.34,3.39,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.962632
