ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
7,30,60,62,38,1.2,24,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,1,89,-0.444,10.69,5.17,4.49,1.1069433527179309
10,20,52,62,38,0.8,24,11,15,10,10,8,80.0,90.91,66.67,10,10,6,1,5,0,13,215,-1.0693,15.39,6.78,4.22,1.1539288276888393
10,30,60,62,38,1.2,96,5,4,4,4,3,75.0,80.0,100.0,4,4,1,1,0,0,0,114,-0.5684,13.1,5.17,3.9,1.130984651207955
7,30,60,62,46,1.2,48,4,5,4,4,3,75.0,100.0,80.0,4,4,1,0,1,0,2,62,-0.3095,10.79,5.17,3.59,1.1078859107156849
7,30,60,62,46,1.2,96,4,5,4,4,3,75.0,100.0,80.0,4,4,1,0,1,0,2,62,-0.3095,10.79,5.17,3.59,1.1078859107156849
10,30,60,62,46,0.8,24,11,19,10,10,8,80.0,90.91,52.63,10,10,10,1,9,0,20,196,-0.9752,15.2,6.78,3.33,1.1520282387623577
7,20,52,62,42,0.8,24,11,15,11,11,8,72.73,100.0,73.33,11,11,4,0,4,0,12,199,-0.9901,14.56,8.33,3.23,1.1455766123024496
10,30,60,62,38,1.2,48,5,5,4,4,3,75.0,80.0,80.0,4,4,2,1,1,0,3,114,-0.5684,13.1,5.17,2.9,1.130984651207955
10,30,60,62,38,1.2,24,5,4,4,4,3,75.0,80.0,100.0,4,4,1,1,0,0,1,87,-0.4341,12.01,5.17,2.81,1.120083906165692
10,20,52,66,42,0.8,24,4,5,4,4,4,100.0,100.0,80.0,4,4,1,0,1,0,3,68,-0.3394,8.41,4.14,2.44,1.0840578520052537
7,30,52,62,42,1.2,24,5,5,5,5,3,60.0,100.0,100.0,5,5,0,0,0,0,3,98,-0.4888,12.38,8.33,2.39,1.12377905965915
10,30,60,62,38,0.8,24,11,15,10,10,8,80.0,90.91,66.67,10,10,6,1,5,0,13,245,-1.2176,14.18,7.41,2.26,1.1417965864387922
7,30,52,66,46,0.8,24,5,11,5,5,5,100.0,100.0,45.45,5,5,6,0,6,0,12,105,-0.5236,10.52,4.67,2.18,1.1051905246468363
10,20,52,66,38,0.8,24,4,5,4,4,4,100.0,100.0,80.0,4,4,1,0,1,0,2,91,-0.454,8.1,4.14,2.13,1.0809851431632242
10,30,60,62,46,1.2,24,5,5,4,4,3,75.0,80.0,80.0,4,4,2,1,1,0,3,60,-0.2996,12.16,5.17,1.96,1.1215590753743356
10,30,60,62,46,1.2,48,5,5,4,4,3,75.0,80.0,80.0,4,4,2,1,1,0,2,60,-0.2996,12.16,5.17,1.96,1.1215590753743356
10,30,60,62,46,1.2,96,5,5,4,4,3,75.0,80.0,80.0,4,4,2,1,1,0,2,60,-0.2996,12.16,5.17,1.96,1.1215590753743356
10,20,60,62,42,0.8,24,11,13,10,10,7,70.0,90.91,76.92,10,10,4,1,3,1,10,189,-0.9406,13.5,8.32,1.0,1.13500046497865
7,20,52,62,38,0.8,24,11,16,11,11,8,72.73,100.0,68.75,11,11,5,0,5,0,14,240,-1.1929,12.54,8.33,0.98,1.1253917126242419
7,30,60,62,46,1.2,24,4,5,4,4,3,75.0,100.0,80.0,4,4,1,0,1,0,2,61,-0.3045,9.11,5.98,0.93,1.0910900797963086
7,20,60,58,38,1.2,24,7,13,7,7,5,71.43,100.0,53.85,7,7,6,0,6,0,14,140,-0.6976,15.27,10.19,0.73,1.1526591084276745
7,30,60,66,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,4.25,2.96,0.7,1.0425295463873245
