fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_ma_fast,best_ma_mid,best_ma_slow,best_rsi_short,best_rsi_cover,best_vol_min_pct,best_max_hold_bars,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,test_funding_bars,test_funding_carry_pct,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,10,20,52,62,46,1.2,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,7,20,52,62,46,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,7,20,60,62,46,0.8,48,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,7,30,60,62,38,0.4,48,-14.24,-2.08,-0.21,6.55,1,0.0,100.0,100.0,0,0,0,20,-0.1,0.997913
4,1752148800000,1762214400000,1762228800000,1763942400000,10,20,60,62,42,0.8,24,2.22,3.19,3.43,3.66,1,100.0,100.0,100.0,0,0,0,24,-0.1199,1.032188
5,1753876800000,1763942400000,1763956800000,1765670400000,7,30,52,62,42,0.8,96,4.33,9.23,-1.73,12.29,1,0.0,100.0,100.0,0,0,0,57,-0.2846,1.01435
6,1755604800000,1765670400000,1765684800000,1767398400000,10,20,60,62,46,0.4,24,-3.5,7.14,0.61,2.96,1,100.0,100.0,100.0,0,0,0,25,-0.1249,1.020491
7,1757332800000,1767398400000,1767412800000,1769126400000,7,20,60,66,46,0.8,48,-3.59,1.38,1.01,2.5,1,100.0,100.0,100.0,0,0,0,29,-0.1449,1.030756
8,1759060800000,1769126400000,1769140800000,1770854400000,7,30,60,62,42,0.8,24,0.19,7.11,2.38,1.26,1,100.0,100.0,100.0,0,0,0,7,-0.035,1.055324
9,1760788800000,1770854400000,1770868800000,1772582400000,10,30,60,58,38,0.8,24,-0.41,7.93,4.25,2.96,1,100.0,100.0,100.0,0,0,0,15,-0.075,1.100207
10,1762516800000,1772582400000,1772596800000,1774310400000,10,30,60,58,42,1.2,96,3.75,9.95,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.100207
11,1764244800000,1774310400000,1774324800000,1776038400000,10,30,60,62,42,1.2,24,2.22,9.49,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,1.100207
