fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,8,20,55,48,35.33,58.76,-2.04,3.26,1,0.0,100.0,100.0,0,0.979634
1,1758902400000,1766088000000,1766102400000,1768968000000,15,50,55,48,19.65,43.08,-2.82,8.81,4,50.0,100.0,100.0,0,0.952046
2,1761782400000,1768968000000,1768982400000,1771848000000,5,50,52,48,35.59,59.03,-8.72,10.44,6,16.67,100.0,100.0,0,0.869027
3,1764662400000,1771848000000,1771862400000,1774728000000,5,20,52,48,10.37,20.46,-6.66,11.82,7,57.14,100.0,100.0,0,0.811162
