fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,15,50,52,48,100.63,130.3,2.56,16.56,2,50.0,100.0,100.0,0,1.025565
1,1758902400000,1766088000000,1766102400000,1768968000000,12,60,52,48,131.6,161.78,4.84,7.99,5,40.0,100.0,100.0,0,1.075182
2,1761782400000,1768968000000,1768982400000,1771848000000,5,60,52,48,102.35,132.53,-6.48,6.48,1,0.0,100.0,100.0,0,1.005494
3,1764662400000,1771848000000,1771862400000,1774728000000,5,20,58,48,5.61,14.24,-5.79,8.31,6,16.67,100.0,100.0,0,0.947301
