fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,10,40,52,48,22.56,29.59,-3.21,8.16,4,25.0,100.0,100.0,0,0.96791
1,1758902400000,1766088000000,1766102400000,1768968000000,8,50,58,48,12.3,17.38,9.23,4.37,6,50.0,100.0,100.0,0,1.05721
2,1761782400000,1768968000000,1768982400000,1771848000000,5,20,52,48,14.32,20.68,-0.87,7.78,4,50.0,100.0,100.0,0,1.047998
3,1764662400000,1771848000000,1771862400000,1774728000000,15,60,52,48,4.14,12.03,4.86,8.73,6,50.0,100.0,100.0,0,1.098913
