fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,8,20,52,48,20.18,23.09,2.25,3.06,7,42.86,100.0,100.0,0,1.022512
1,1758902400000,1766088000000,1766102400000,1768968000000,10,20,58,48,18.31,21.46,4.15,4.0,5,40.0,100.0,100.0,0,1.06499
2,1761782400000,1768968000000,1768982400000,1771848000000,8,20,55,48,10.78,14.45,-2.22,3.27,4,0.0,100.0,100.0,0,1.041369
3,1764662400000,1771848000000,1771862400000,1774728000000,12,60,52,48,5.5,9.52,7.94,5.22,4,50.0,100.0,100.0,0,1.124092
