fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
12,40,55,45,10,8,9,9,5,55.56,90.0,112.5,9,9,1,1,0,0,1,8.21,9.05,-3.52,1.0820876856076573
15,20,52,48,16,12,13,13,7,53.85,81.25,108.33,13,13,3,3,0,3,0,8.94,8.53,-3.69,1.0894066053507816
15,30,58,42,8,7,8,8,3,37.5,100.0,114.29,8,8,0,0,0,0,0,6.37,8.98,-3.69,1.0636770273061324
8,30,55,48,15,12,13,13,5,38.46,86.67,108.33,13,13,2,2,0,0,0,8.41,8.78,-3.71,1.0841094705845227
12,50,52,42,7,6,7,7,4,57.14,100.0,116.67,7,7,0,0,0,0,0,5.85,8.66,-3.72,1.0584503115526218
15,40,55,45,10,7,8,8,5,62.5,80.0,114.29,8,8,2,2,0,0,0,8.69,8.53,-3.83,1.0868791907566078
5,50,52,48,17,11,12,12,5,41.67,70.59,109.09,12,12,5,5,0,2,0,9.09,7.61,-4.01,1.0908648375548584
5,60,58,45,11,9,10,10,5,50.0,90.91,111.11,10,10,1,1,0,0,0,6.11,8.03,-4.33,1.0611484769714412
5,60,55,45,12,8,9,9,5,55.56,75.0,112.5,9,9,3,3,0,0,0,7.68,7.5,-4.44,1.076842838790887
5,60,52,45,12,9,10,10,5,50.0,83.33,111.11,10,10,2,2,0,0,0,6.96,8.03,-4.62,1.0696402653536103
15,30,55,45,10,9,10,10,5,50.0,100.0,111.11,10,10,0,0,0,0,0,6.28,9.56,-4.64,1.062819635520789
10,40,58,42,9,7,8,8,3,37.5,88.89,114.29,8,8,1,1,0,0,1,6.53,8.66,-4.82,1.0652616163059052
5,30,52,48,19,13,14,14,8,57.14,73.68,107.69,14,14,5,5,0,4,0,9.5,8.98,-4.84,1.0950197809852091
15,20,58,45,10,9,10,10,5,50.0,100.0,111.11,10,10,0,0,0,0,0,5.63,9.19,-4.85,1.0562656437858355
10,40,55,45,10,9,10,10,5,50.0,100.0,111.11,10,10,0,0,0,0,1,6.21,9.79,-4.99,1.0621007558322024
8,20,55,45,15,12,12,12,6,50.0,80.0,100.0,12,12,3,3,0,0,0,7.3,7.79,-5.05,1.07301865933781
15,50,52,42,8,6,7,7,3,42.86,87.5,116.67,7,7,1,1,0,0,0,6.21,8.66,-5.23,1.0620520469475498
8,60,55,42,8,6,7,7,3,42.86,87.5,116.67,7,7,1,1,0,0,0,6.32,8.89,-5.39,1.0631725610738187
8,60,58,42,8,6,7,7,3,42.86,87.5,116.67,7,7,1,1,0,0,0,6.32,8.89,-5.39,1.0631725610738187
12,60,55,42,8,6,7,7,3,42.86,87.5,116.67,7,7,1,1,0,0,0,5.94,8.66,-5.5,1.0593989851451835
10,40,52,45,12,10,11,11,6,54.55,91.67,110.0,11,11,1,1,0,2,2,7.67,10.37,-5.52,1.0767322007435411
15,50,52,45,11,7,8,8,5,62.5,72.73,114.29,8,8,3,3,0,0,0,6.47,7.22,-5.57,1.0647416823431162
8,40,58,45,11,9,10,10,5,50.0,90.91,111.11,10,10,1,1,0,0,1,6.34,9.49,-5.86,1.0633517051992667
12,30,58,42,9,8,9,9,3,33.33,100.0,112.5,9,9,0,0,0,0,0,4.07,8.98,-6.07,1.0407183448714286
10,20,58,45,15,12,12,12,6,50.0,80.0,100.0,12,12,3,3,0,0,0,6.2,7.79,-6.15,1.0620263796959868
8,30,58,48,15,11,12,12,4,33.33,80.0,109.09,12,12,3,3,0,0,0,6.77,8.68,-6.2,1.0676659533384587
12,40,55,42,9,7,8,8,3,37.5,88.89,114.29,8,8,1,1,0,0,1,5.28,8.85,-6.29,1.052768838778331
12,30,55,45,12,9,10,10,5,50.0,83.33,111.11,10,10,2,2,0,1,0,6.72,9.44,-6.55,1.0672404390342225
5,30,55,48,16,11,12,12,6,50.0,75.0,109.09,12,12,4,4,0,0,0,7.97,9.49,-6.72,1.0796544856291912
15,60,52,42,8,5,6,6,4,66.67,75.0,120.0,6,6,2,2,0,0,0,7.8,9.87,-6.79,1.0780281902255604
8,20,58,45,15,12,12,12,6,50.0,80.0,100.0,12,12,3,3,0,0,0,6.12,8.3,-6.84,1.0612125484841974
8,60,55,45,11,7,8,8,5,62.5,72.73,114.29,8,8,3,3,0,0,0,5.58,7.54,-6.84,1.0558260722746593
8,60,52,42,9,6,7,7,4,57.14,77.78,116.67,7,7,2,2,0,0,0,6.3,8.89,-6.86,1.0630281106765525
12,20,52,45,16,13,14,14,6,42.86,87.5,107.69,14,14,2,2,0,0,0,6.0,9.52,-6.92,1.0599582995048928
12,60,52,42,8,6,7,7,4,57.14,87.5,116.67,7,7,1,1,0,0,0,5.49,9.49,-6.93,1.0549408936578397
10,50,52,42,9,6,7,7,3,42.86,77.78,116.67,7,7,2,2,0,0,0,5.84,8.66,-7.06,1.0583594119898534
15,30,55,42,10,8,9,9,3,33.33,90.0,112.5,9,9,1,1,0,0,0,4.45,8.89,-7.09,1.0445313232281845
10,60,52,42,8,6,7,7,3,42.86,87.5,116.67,7,7,1,1,0,0,0,4.31,8.66,-7.12,1.0431313033440117
12,20,58,42,10,10,10,10,5,50.0,100.0,100.0,10,10,0,0,0,0,0,3.05,8.66,-7.35,1.03048323495068
12,40,52,42,11,7,8,8,4,50.0,72.73,114.29,8,8,3,3,0,2,1,6.35,8.66,-7.42,1.063536537368063
8,50,58,45,12,7,8,8,5,62.5,66.67,114.29,8,8,4,4,0,0,0,7.04,8.53,-7.48,1.0704311921732999
15,40,55,42,8,6,7,7,3,42.86,87.5,116.67,7,7,1,1,0,0,0,5.9,10.37,-7.59,1.058970362968508
5,20,55,42,14,11,11,11,6,54.55,78.57,100.0,11,11,3,3,0,1,3,5.98,8.66,-7.63,1.059821313749918
8,40,55,45,13,9,10,10,5,50.0,76.92,111.11,10,10,3,3,0,1,1,6.47,9.43,-7.76,1.0646864628010861
10,40,55,42,9,8,9,9,3,33.33,100.0,112.5,9,9,0,0,0,0,1,3.11,9.79,-8.02,1.031050147823067
10,30,55,45,12,9,10,10,5,50.0,83.33,111.11,10,10,2,2,0,2,0,5.98,10.07,-8.05,1.0597837636354237
15,30,52,45,15,8,9,9,6,66.67,60.0,112.5,9,9,6,6,0,3,0,6.63,8.07,-8.44,1.0662667123800136
5,40,58,45,12,10,11,11,5,45.45,91.67,110.0,11,11,1,1,0,0,0,4.78,10.55,-8.63,1.0477923244841874
8,50,52,45,11,9,10,10,6,60.0,90.91,111.11,10,10,1,1,0,0,0,5.77,11.47,-8.79,1.0577481332733705
8,20,52,45,20,13,14,14,7,50.0,70.0,107.69,14,14,6,6,0,1,0,4.96,8.05,-8.81,1.0496071968949106
8,40,58,42,10,8,9,9,3,33.33,90.0,112.5,9,9,1,1,0,0,1,3.23,9.49,-9.04,1.032264525576541
10,20,55,45,16,11,11,11,6,54.55,68.75,100.0,11,11,5,5,0,0,0,5.79,8.49,-9.09,1.0579085180866405
10,20,52,45,21,12,13,13,6,46.15,61.9,108.33,13,13,8,8,0,3,0,5.4,7.68,-9.1,1.0540426544299024
15,20,58,42,10,9,10,10,4,40.0,100.0,111.11,10,10,0,0,0,0,1,1.1,9.19,-9.38,1.010955843929303
10,30,58,45,12,9,10,10,5,50.0,83.33,111.11,10,10,2,2,0,0,0,3.54,9.19,-9.43,1.035441978981387
15,40,52,45,10,8,9,9,5,55.56,90.0,112.5,9,9,1,1,0,0,0,4.86,11.25,-9.52,1.0485668788757962
10,20,55,42,13,11,11,11,5,45.45,84.62,100.0,11,11,2,2,0,0,0,3.41,8.89,-9.56,1.0341207683184042
