fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1768118400000,1771560000000,1771574400000,1773288000000,5,20,58,48,-2.39,0.92,3.89,6.62,3,33.33,60.0,150.0,2,0,0,1.038895
1,1769846400000,1773288000000,1773302400000,1775016000000,12,60,58,48,-2.14,0.52,1.85,2.58,1,100.0,25.0,100.0,3,1,0,1.058153
2,1771574400000,1775016000000,1775030400000,1776744000000,12,20,55,48,-1.81,8.6,1.72,3.7,3,33.33,75.0,100.0,1,0,0,1.076359
