ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
10,30,52,66,46,0.8,96,7,14,4,4,1,25.0,57.14,28.57,4,4,14,3,11,5,22,-11.72,19.19,-44.74,0.8828369227904163
10,20,52,58,46,0.4,24,27,49,7,7,4,57.14,25.93,14.29,7,7,62,20,42,30,86,-6.22,19.33,-44.81,0.9378007870912409
7,20,60,62,42,0.4,24,12,37,6,6,3,50.0,50.0,16.22,6,6,37,6,31,10,62,-12.96,16.87,-44.9,0.8703555237696403
7,20,60,62,42,0.8,24,12,37,6,6,3,50.0,50.0,16.22,6,6,37,6,31,10,62,-12.96,16.87,-44.9,0.8703555237696403
7,20,60,58,46,0.4,24,23,46,10,10,5,50.0,43.48,21.74,10,10,49,13,36,24,76,-12.69,16.61,-45.02,0.8730778422138276
10,20,60,58,46,0.4,24,25,49,7,7,4,57.14,28.0,14.29,7,7,60,18,42,27,85,-6.78,19.33,-45.06,0.9322102168170133
10,30,52,58,46,0.8,24,23,37,10,10,6,60.0,43.48,27.03,10,10,41,13,28,21,58,-7.55,21.2,-45.11,0.9245247928898226
7,20,52,58,38,0.4,24,26,68,8,8,5,62.5,30.77,11.76,8,8,78,18,60,29,123,-2.63,23.19,-45.25,0.973724387883659
7,30,60,66,42,0.4,48,7,9,5,5,2,40.0,71.43,55.56,5,5,6,2,4,2,9,-15.35,19.53,-45.29,0.846535095391324
7,30,60,66,42,0.8,48,7,9,5,5,2,40.0,71.43,55.56,5,5,6,2,4,2,9,-15.35,19.53,-45.29,0.846535095391324
10,30,60,66,42,0.4,48,7,9,5,5,2,40.0,71.43,55.56,5,5,6,2,4,3,9,-15.35,19.53,-45.29,0.846535095391324
10,30,60,66,42,0.8,48,7,9,5,5,2,40.0,71.43,55.56,5,5,6,2,4,3,9,-15.35,19.53,-45.29,0.846535095391324
10,20,60,66,42,0.4,48,7,10,4,4,2,50.0,57.14,40.0,4,4,9,3,6,3,12,-12.97,19.33,-45.59,0.8703013740171208
10,20,60,66,42,0.8,48,7,10,4,4,2,50.0,57.14,40.0,4,4,9,3,6,3,12,-12.97,19.33,-45.59,0.8703013740171208
10,20,60,58,42,0.8,24,23,51,7,7,4,57.14,30.43,13.73,7,7,60,16,44,23,88,-7.47,19.58,-45.72,0.9252878352447801
10,20,52,58,42,0.4,24,27,51,7,7,4,57.14,25.93,13.73,7,7,64,20,44,30,89,-6.92,19.58,-45.84,0.9308368912125276
7,20,60,62,38,0.4,24,12,39,6,6,2,33.33,50.0,15.38,6,6,39,6,33,10,67,-13.94,16.87,-45.92,0.8605876008936106
7,20,60,62,38,0.8,24,12,39,6,6,2,33.33,50.0,15.38,6,6,39,6,33,10,67,-13.94,16.87,-45.92,0.8605876008936106
10,20,60,58,42,0.4,24,25,51,7,7,4,57.14,28.0,13.73,7,7,62,18,44,27,88,-7.47,19.58,-46.08,0.9252878352447801
7,30,60,66,46,0.4,48,7,13,5,5,2,40.0,71.43,38.46,5,5,10,2,8,2,17,-15.35,19.53,-46.14,0.846535095391324
7,30,60,66,46,0.8,48,7,13,5,5,2,40.0,71.43,38.46,5,5,10,2,8,2,17,-15.35,19.53,-46.14,0.846535095391324
10,30,60,66,46,0.4,48,7,13,5,5,2,40.0,71.43,38.46,5,5,10,2,8,3,17,-15.35,19.53,-46.14,0.846535095391324
10,30,60,66,46,0.8,48,7,13,5,5,2,40.0,71.43,38.46,5,5,10,2,8,3,17,-15.35,19.53,-46.14,0.846535095391324
10,20,60,66,46,0.4,48,7,14,4,4,2,50.0,57.14,28.57,4,4,13,3,10,3,20,-12.97,19.33,-46.16,0.8703013740171208
10,20,60,66,46,0.8,48,7,14,4,4,2,50.0,57.14,28.57,4,4,13,3,10,3,20,-12.97,19.33,-46.16,0.8703013740171208
10,30,60,58,42,0.8,96,20,17,9,9,6,66.67,45.0,52.94,9,9,19,11,8,15,18,-7.17,24.24,-46.87,0.9282574140645377
7,20,60,58,42,0.8,48,20,17,9,9,5,55.56,45.0,52.94,9,9,19,11,8,19,17,-13.06,19.64,-47.23,0.8694299538587612
