ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
7,30,60,66,42,0.8,96,5,6,5,5,3,60.0,100.0,83.33,5,5,1,0,1,0,3,-11.69,18.32,-34.5,0.8831418006958176
7,30,60,66,38,0.4,96,5,5,5,5,2,40.0,100.0,100.0,5,5,0,0,0,0,0,-12.74,18.32,-34.72,0.8725775660555246
7,30,52,62,42,0.4,96,13,14,13,13,6,46.15,100.0,92.86,13,13,1,0,1,0,3,-8.66,21.43,-34.73,0.9133742118120622
7,30,52,66,42,0.4,96,5,6,5,5,3,60.0,100.0,83.33,5,5,1,0,1,0,3,-12.05,18.32,-34.86,0.8795113613047562
7,30,60,58,42,0.8,96,14,13,12,12,7,58.33,85.71,92.31,12,12,3,2,1,2,3,-6.89,21.43,-35.13,0.9310753904667224
7,20,52,62,38,0.8,48,11,11,11,11,5,45.45,100.0,100.0,11,11,0,0,0,0,1,-11.23,19.98,-35.2,0.8877361003724639
10,20,60,58,42,0.4,96,16,13,13,13,7,53.85,81.25,100.0,13,13,3,3,0,4,1,-6.16,21.95,-35.31,0.9384035570520579
10,20,52,58,46,0.4,96,17,13,13,13,7,53.85,76.47,100.0,13,13,4,4,0,2,0,-7.51,20.36,-35.47,0.9249280813524042
10,20,52,62,46,0.4,96,13,16,12,12,5,41.67,92.31,75.0,12,12,5,1,4,0,8,-10.19,19.15,-35.57,0.89811781099699
10,20,60,66,38,0.8,96,4,5,4,4,2,50.0,100.0,80.0,4,4,1,0,1,0,2,-12.64,18.32,-35.62,0.873558616065497
10,30,52,58,42,0.8,48,18,14,13,13,8,61.54,72.22,92.86,13,13,6,5,1,1,4,-8.39,18.97,-35.68,0.9161355483014233
7,30,52,62,38,0.4,96,11,11,11,11,5,45.45,100.0,100.0,11,11,0,0,0,0,0,-11.89,19.85,-35.71,0.8811484617266536
7,20,52,66,38,0.8,96,4,4,4,4,2,50.0,100.0,100.0,4,4,0,0,0,0,0,-13.78,18.32,-35.76,0.8621997983537193
7,20,60,66,38,0.8,96,4,4,4,4,2,50.0,100.0,100.0,4,4,0,0,0,0,0,-13.78,18.32,-35.76,0.8621997983537193
10,20,52,66,38,0.8,96,4,4,4,4,2,50.0,100.0,100.0,4,4,0,0,0,0,0,-13.78,18.32,-35.76,0.8621997983537193
10,30,52,62,38,0.8,96,12,11,11,11,5,45.45,91.67,100.0,11,11,1,1,0,0,0,-10.94,19.75,-35.89,0.8906020176816073
10,30,60,66,38,0.4,96,5,4,4,4,2,50.0,80.0,100.0,4,4,1,1,0,0,0,-11.1,18.32,-36.08,0.8890113526672606
7,20,60,58,42,0.4,96,15,13,13,13,7,53.85,86.67,100.0,13,13,2,2,0,2,1,-6.97,22.63,-36.13,0.9302524532888039
7,30,52,62,38,0.8,96,11,11,11,11,5,45.45,100.0,100.0,11,11,0,0,0,0,0,-12.19,19.97,-36.16,0.8781076918502261
10,20,52,58,46,0.8,96,16,15,11,11,6,54.55,68.75,73.33,11,11,9,5,4,4,8,-8.78,17.96,-36.36,0.912189708063928
7,20,60,62,46,0.4,96,11,15,11,11,5,45.45,100.0,73.33,11,11,4,0,4,0,8,-9.77,21.06,-36.37,0.902300755589075
10,20,60,62,46,0.4,96,11,15,11,11,5,45.45,100.0,73.33,11,11,4,0,4,0,8,-9.77,21.06,-36.37,0.902300755589075
7,20,60,58,46,0.8,48,14,12,12,12,7,58.33,85.71,100.0,12,12,2,2,0,3,0,-10.58,19.76,-36.44,0.894199329193199
10,20,60,58,46,0.8,48,14,12,12,12,7,58.33,85.71,100.0,12,12,2,2,0,2,0,-10.58,19.76,-36.44,0.894199329193199
10,20,52,58,46,0.8,48,16,11,11,11,7,63.64,68.75,100.0,11,11,5,5,0,4,0,-10.56,17.73,-36.53,0.8944305634043008
10,30,52,58,42,0.8,96,18,14,13,13,8,61.54,72.22,92.86,13,13,6,5,1,1,3,-6.12,21.71,-36.7,0.9387728046461657
10,30,60,62,42,0.4,96,12,12,11,11,5,45.45,91.67,91.67,11,11,2,1,1,0,3,-9.51,21.43,-36.89,0.9048990482501883
7,30,52,58,42,0.8,96,15,13,12,12,7,58.33,80.0,92.31,12,12,4,3,1,2,3,-7.82,21.71,-37.25,0.9218418139514695
7,20,60,58,46,0.8,96,14,16,12,12,6,50.0,85.71,75.0,12,12,6,2,4,3,8,-8.8,20.97,-37.36,0.9119538826391832
10,20,60,58,46,0.8,96,14,16,12,12,6,50.0,85.71,75.0,12,12,6,2,4,2,8,-8.8,20.97,-37.36,0.9119538826391832
10,30,60,58,42,0.4,96,15,13,12,12,6,50.0,80.0,92.31,12,12,4,3,1,3,3,-8.43,21.43,-37.53,0.9156546323559481
7,30,60,66,42,0.4,96,5,6,5,5,2,40.0,100.0,83.33,5,5,1,0,1,0,3,-15.52,18.32,-38.33,0.8448178118412737
10,30,60,66,42,0.4,96,5,5,4,4,2,50.0,80.0,80.0,4,4,2,1,1,0,3,-12.38,18.32,-38.36,0.8762480545744055
10,30,60,58,42,0.8,96,15,12,11,11,7,63.64,73.33,91.67,11,11,5,4,1,3,3,-7.09,22.59,-38.61,0.9291261367134621
10,30,60,58,38,0.8,96,13,10,10,10,5,50.0,76.92,100.0,10,10,3,3,0,2,0,-11.77,19.67,-38.83,0.8823228920819084
7,30,60,62,42,0.4,96,12,13,12,12,5,41.67,100.0,92.31,12,12,1,0,1,0,3,-12.76,21.43,-38.85,0.8724411197138483
10,20,60,62,38,0.8,48,10,10,10,10,4,40.0,100.0,100.0,10,10,0,0,0,0,0,-13.06,21.63,-39.01,0.869429988830743
7,30,52,58,46,0.8,48,15,17,12,12,7,58.33,80.0,70.59,12,12,8,3,5,2,12,-9.34,21.18,-39.22,0.9066418001404003
7,30,60,58,38,0.8,96,13,11,11,11,5,45.45,84.62,100.0,11,11,2,2,0,3,0,-13.4,19.67,-39.31,0.8660127447619441
7,30,60,58,38,0.4,96,13,11,11,11,5,45.45,84.62,100.0,11,11,2,2,0,3,0,-13.37,19.82,-39.45,0.8663469702790232
7,20,60,62,38,0.8,48,10,10,10,10,4,40.0,100.0,100.0,10,10,0,0,0,0,1,-13.32,21.87,-39.57,0.8667661643222262
10,30,52,62,42,0.4,96,17,14,12,12,6,50.0,70.59,85.71,12,12,7,5,2,2,5,-7.84,22.29,-39.72,0.9215856119563307
7,30,60,58,42,0.4,96,15,14,13,13,6,46.15,86.67,92.86,13,13,3,2,1,3,3,-11.72,21.43,-39.79,0.8828109105303491
10,20,52,62,38,0.4,48,11,10,10,10,4,40.0,90.91,100.0,10,10,1,1,0,0,1,-12.98,21.56,-40.22,0.8701607340765788
10,30,60,62,38,0.4,96,10,9,9,9,4,44.44,90.0,100.0,9,9,1,1,0,0,0,-12.7,21.75,-40.3,0.8729723196385043
7,30,52,58,38,0.8,48,14,12,11,11,6,54.55,78.57,91.67,11,11,4,3,1,3,5,-11.28,21.18,-40.32,0.8872429202126699
10,30,60,62,38,0.8,96,10,9,9,9,4,44.44,90.0,100.0,9,9,1,1,0,0,0,-13.0,21.64,-40.48,0.869959764946744
7,20,60,58,46,0.4,48,15,13,13,13,7,53.85,86.67,100.0,13,13,2,2,0,2,0,-13.19,21.17,-40.6,0.8680687958993849
10,20,60,58,46,0.4,48,16,13,13,13,7,53.85,81.25,100.0,13,13,3,3,0,4,0,-12.43,21.17,-40.65,0.8756750309638593
7,20,52,58,42,0.4,96,15,13,13,13,7,53.85,86.67,100.0,13,13,2,2,0,2,1,-9.5,24.58,-41.0,0.9050453039250265
10,20,60,66,38,0.4,96,4,5,4,4,1,25.0,100.0,80.0,4,4,1,0,1,0,2,-16.43,19.74,-41.13,0.8356504900550333
7,20,52,66,38,0.4,96,4,4,4,4,1,25.0,100.0,100.0,4,4,0,0,0,0,0,-17.52,19.74,-41.21,0.8247845888862659
7,20,60,66,38,0.4,96,4,4,4,4,1,25.0,100.0,100.0,4,4,0,0,0,0,0,-17.52,19.74,-41.21,0.8247845888862659
10,20,52,66,38,0.4,96,4,4,4,4,1,25.0,100.0,100.0,4,4,0,0,0,0,0,-17.52,19.74,-41.21,0.8247845888862659
7,30,60,62,38,0.4,96,10,10,10,10,4,40.0,100.0,100.0,10,10,0,0,0,0,0,-15.27,21.75,-41.37,0.8472675020010416
10,30,52,58,46,0.4,48,18,18,13,13,7,53.85,72.22,72.22,13,13,10,5,5,1,12,-11.33,20.51,-41.5,0.8866615098289345
7,30,60,62,38,0.8,96,10,10,10,10,4,40.0,100.0,100.0,10,10,0,0,0,0,0,-15.57,21.64,-41.54,0.8443436524918313
7,30,52,58,38,0.8,96,14,11,11,11,6,54.55,78.57,100.0,11,11,3,3,0,3,1,-12.75,21.34,-41.57,0.8725282212660963
7,30,52,58,42,0.4,96,16,14,13,13,6,46.15,81.25,92.86,13,13,4,3,1,3,3,-12.37,21.71,-41.59,0.8763385886907633
10,20,52,58,42,0.4,96,17,13,13,13,7,53.85,76.47,100.0,13,13,4,4,0,2,1,-9.59,24.06,-41.98,0.9041304142203985
10,30,52,58,42,0.4,96,18,14,13,13,6,46.15,72.22,92.86,13,13,6,5,1,1,3,-12.29,21.71,-42.86,0.8771142348680859
7,20,52,62,38,0.4,48,11,11,11,11,4,36.36,100.0,100.0,11,11,0,0,0,0,1,-15.08,23.45,-43.22,0.8492127416211906
7,20,52,58,46,0.4,48,15,13,13,13,7,53.85,86.67,100.0,13,13,2,2,0,2,0,-15.55,22.02,-43.97,0.8445466436933785
10,30,60,58,38,0.4,96,14,10,10,10,5,50.0,71.43,100.0,10,10,4,4,0,4,0,-15.08,21.0,-44.57,0.8492214380892803
7,30,52,58,42,0.8,48,15,13,12,12,7,58.33,80.0,92.31,12,12,4,3,1,2,4,-12.6,23.93,-44.7,0.8740353278583786
7,30,52,58,46,0.4,48,16,18,13,13,6,46.15,81.25,72.22,13,13,8,3,5,3,12,-13.78,22.67,-45.19,0.8622101409826415
10,20,52,58,46,0.4,48,17,13,13,13,7,53.85,76.47,100.0,13,13,4,4,0,2,0,-15.58,21.85,-45.33,0.8442251173327078
10,30,52,58,42,0.4,48,18,14,13,13,6,46.15,72.22,92.86,13,13,6,5,1,1,4,-14.4,22.06,-45.4,0.8559637928441339
10,30,52,58,38,0.4,96,16,11,11,11,5,45.45,68.75,100.0,11,11,5,5,0,1,0,-14.72,22.17,-46.01,0.8527529006073099
10,30,52,58,38,0.8,96,16,11,11,11,5,45.45,68.75,100.0,11,11,5,5,0,1,0,-15.02,22.06,-46.18,0.8498101214448496
7,30,52,58,38,0.4,48,14,11,11,11,5,45.45,78.57,100.0,11,11,3,3,0,3,2,-16.03,22.48,-46.23,0.8396828658366894
10,20,60,58,38,0.4,96,15,12,12,12,6,50.0,80.0,100.0,12,12,3,3,0,3,0,-16.3,22.89,-46.77,0.8369701938224692
10,30,52,58,38,0.4,48,16,13,11,11,5,45.45,68.75,84.62,11,11,7,5,2,1,5,-15.23,21.74,-46.77,0.8477337703671234
10,20,60,58,42,0.8,48,14,12,12,12,7,58.33,85.71,100.0,12,12,2,2,0,2,1,-15.04,25.03,-47.22,0.8496073640967495
10,20,52,62,38,0.4,96,10,9,9,9,5,55.56,90.0,100.0,9,9,1,1,0,0,0,-17.36,24.83,-48.66,0.8263840157953406
10,20,52,62,38,0.8,96,10,9,9,9,5,55.56,90.0,100.0,9,9,1,1,0,0,0,-17.36,24.83,-48.66,0.8263840157953406
10,20,60,58,38,0.4,48,15,12,12,12,6,50.0,80.0,100.0,12,12,3,3,0,3,1,-17.34,23.69,-48.77,0.8266055274259176
7,30,52,58,38,0.4,96,14,11,11,11,5,45.45,78.57,100.0,11,11,3,3,0,3,1,-16.53,24.76,-49.46,0.8346648092967717
10,20,52,58,42,0.8,48,16,11,11,11,7,63.64,68.75,100.0,11,11,5,5,0,4,1,-15.02,25.16,-49.9,0.8498270671116916
7,20,52,62,38,0.4,96,10,10,10,10,5,50.0,100.0,100.0,10,10,0,0,0,0,0,-19.25,26.41,-50.94,0.8074753939541437
