fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1713686400000,1735272000000,1735286400000,1742472000000,5,20,55,48,140.01,151.77,24.41,7.95,13,76.92,81.25,108.33,3,0,0,1.244098
1,1720886400000,1742472000000,1742486400000,1749672000000,8,50,52,48,118.42,130.21,35.12,3.89,14,78.57,70.0,107.69,6,1,0,1.681015
2,1728086400000,1749672000000,1749686400000,1756872000000,5,20,52,48,140.64,155.3,13.15,4.6,14,50.0,82.35,107.69,3,1,0,1.902136
3,1735286400000,1756872000000,1756886400000,1764072000000,5,20,55,48,72.36,85.5,19.34,2.3,8,75.0,72.73,100.0,3,0,0,2.270032
4,1742486400000,1764072000000,1764086400000,1771272000000,10,20,52,48,66.27,78.64,6.71,4.15,14,50.0,87.5,100.0,2,0,0,2.422287
