fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1713686400000,1735272000000,1735286400000,1742472000000,10,60,52,42,-7.25,22.21,-9.69,15.53,3,0.0,8.57,8.33,66,38,69,0.903087
1,1720886400000,1742472000000,1742486400000,1749672000000,8,20,55,45,-14.32,16.49,-2.52,8.35,2,0.0,4.26,4.08,93,45,97,0.880375
2,1728086400000,1749672000000,1749686400000,1756872000000,8,20,55,45,-10.82,20.55,15.33,13.95,1,100.0,1.96,1.72,108,60,116,1.015322
3,1735286400000,1756872000000,1756886400000,1764072000000,8,20,58,42,15.14,50.49,6.1,16.63,4,50.0,8.16,66.67,47,46,5,1.077299
4,1742486400000,1764072000000,1764086400000,1771272000000,15,60,55,45,32.92,69.89,0.0,0.0,0,0.0,0.0,0.0,63,72,0,1.077299
