fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1713686400000,1735272000000,1735286400000,1742472000000,10,20,58,48,118.28,135.55,-10.46,19.93,11,27.27,91.67,100.0,2,0,2,0.895358
1,1720886400000,1742472000000,1742486400000,1749672000000,15,30,58,48,47.46,62.56,48.64,8.81,11,54.55,78.57,100.0,4,0,3,1.330826
2,1728086400000,1749672000000,1749686400000,1756872000000,5,60,58,48,164.66,180.15,67.94,7.86,8,62.5,80.0,100.0,2,0,0,2.234981
3,1735286400000,1756872000000,1756886400000,1764072000000,10,60,52,48,203.67,219.79,14.26,3.94,4,75.0,100.0,100.0,0,0,0,2.553759
4,1742486400000,1764072000000,1764086400000,1771272000000,15,60,52,48,241.01,255.04,21.6,5.88,6,83.33,85.71,85.71,2,2,2,3.105343
