fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1713686400000,1735272000000,1735286400000,1742472000000,5,20,55,45,103.36,133.69,15.66,28.09,9,33.33,47.37,52.94,19,18,20,1.156591
1,1720886400000,1742472000000,1742486400000,1749672000000,5,20,55,48,137.78,180.68,26.08,9.32,9,55.56,34.62,40.91,31,18,30,1.458221
2,1728086400000,1749672000000,1749686400000,1756872000000,12,20,58,45,147.42,190.52,17.86,13.35,10,40.0,41.67,45.45,27,16,26,1.718596
3,1735286400000,1756872000000,1756886400000,1764072000000,12,20,52,45,77.57,121.22,18.6,9.62,7,57.14,46.67,87.5,8,11,3,2.038211
4,1742486400000,1764072000000,1764086400000,1771272000000,5,60,52,45,87.06,117.38,-7.26,13.44,4,25.0,18.18,40.0,24,21,14,1.890145
