fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
10,40,55,45,195,93,59,59,29,49.15,30.26,63.44,59,59,170,136,34,145,73,288.68,23.11,248.66,3.8868356105436086
5,40,55,45,215,102,68,68,31,45.59,31.63,66.67,68,68,181,147,34,176,75,288.62,24.34,247.49,3.886192942350368
15,40,52,45,220,91,58,58,25,43.1,26.36,63.74,58,58,195,162,33,184,73,284.08,20.29,246.88,3.8407962472712516
15,40,55,42,149,75,43,43,20,46.51,28.86,57.33,43,43,138,106,32,125,67,288.81,25.15,245.83,3.888064435608931
8,40,52,45,253,97,64,64,30,46.88,25.3,65.98,64,64,222,189,33,213,70,274.68,17.99,240.19,3.7468213840624753
12,60,55,42,165,45,36,36,21,58.33,21.82,80.0,36,36,138,129,9,132,20,274.8,20.18,237.85,3.7479674941727947
12,50,55,42,150,66,44,44,19,43.18,29.33,66.67,44,44,128,106,22,130,46,272.82,21.25,235.05,3.728229832150432
10,50,52,42,176,84,48,48,18,37.5,27.27,57.14,48,48,164,128,36,154,78,274.8,24.85,231.92,3.747954649542319
12,30,52,45,231,117,61,61,26,42.62,26.41,52.14,61,61,226,170,56,199,116,273.77,27.81,226.98,3.7377470402926614
12,20,52,45,270,85,67,67,29,43.28,24.81,78.82,67,67,222,203,19,221,41,262.2,24.36,220.63,3.6220382910166036
8,60,52,42,158,95,45,45,17,37.78,28.48,47.37,45,45,164,113,51,124,109,246.57,22.27,206.5,3.4657423823204447
5,50,52,42,189,112,56,56,21,37.5,29.63,50.0,56,56,190,133,57,152,124,240.22,25.55,196.5,3.4021587802954847
5,40,58,42,134,71,56,56,22,39.29,41.79,78.87,56,56,94,78,16,85,43,239.65,27.94,196.34,3.396471138086633
8,20,58,42,147,85,57,57,23,40.35,38.78,67.06,57,57,119,90,29,80,71,236.28,27.77,192.12,3.3627516357864446
8,40,58,42,134,73,51,51,22,43.14,38.06,69.86,51,51,106,83,23,79,51,224.13,24.04,184.48,3.2412560426704617
10,40,52,45,212,84,69,69,29,42.03,32.55,82.14,69,69,159,143,16,148,37,209.43,18.98,175.64,3.094253398364551
12,30,58,42,128,73,51,51,19,37.25,39.84,69.86,51,51,100,77,23,78,52,218.41,27.22,175.22,3.1841111904738204
15,20,58,42,139,69,50,50,21,42.0,35.97,72.46,50,50,109,89,20,94,49,216.65,26.11,174.33,3.1664661452235485
12,40,58,42,132,55,45,45,17,37.78,34.09,81.82,45,45,98,87,11,99,27,208.47,20.41,173.18,3.0847116166865773
10,20,58,42,167,83,59,59,25,42.37,35.33,71.08,59,59,132,108,24,108,57,213.77,26.71,170.57,3.137668049163124
10,30,58,42,133,69,49,49,20,40.82,36.84,71.01,49,49,105,84,21,82,49,207.61,22.44,169.76,3.0761285251554993
15,30,52,45,228,78,66,66,28,42.42,28.95,84.62,66,66,174,162,12,189,30,209.42,23.65,169.61,3.09418603745416
8,30,58,42,109,80,59,59,24,40.68,54.13,73.75,59,59,72,50,22,43,55,215.11,31.73,168.84,3.15113295567704
5,30,58,42,136,85,59,59,23,38.98,43.38,69.41,59,59,104,77,27,82,69,211.3,29.35,166.06,3.1130043084676364
10,20,55,42,154,95,66,66,27,40.91,42.86,69.47,66,66,117,88,29,88,67,211.15,30.61,164.32,3.1115000336145044
15,20,55,42,150,83,60,60,22,36.67,40.0,72.29,60,60,114,90,24,95,59,207.19,28.08,163.11,3.0718735767071887
5,40,52,45,265,105,77,77,31,40.26,29.06,73.33,77,77,217,188,29,214,66,206.75,30.09,158.66,3.067455329105486
15,60,55,42,139,48,39,39,18,46.15,28.06,81.25,39,39,110,100,10,117,22,196.91,22.26,158.47,2.96905229417309
15,30,55,42,169,61,51,51,18,35.29,30.18,83.61,51,51,129,118,11,139,29,198.22,24.81,157.15,2.982210986646661
10,40,52,42,159,78,57,57,22,38.6,35.85,73.08,57,57,124,102,22,117,52,194.4,24.1,154.51,2.9439603473981113
12,30,55,42,160,100,55,55,19,34.55,34.38,55.0,55,55,151,105,46,122,96,196.87,27.21,152.12,2.9686640154506807
8,20,55,42,176,98,65,65,25,38.46,36.93,66.33,65,65,145,111,34,109,80,197.89,29.46,151.38,2.978860119335174
5,20,52,42,213,132,84,84,31,36.9,39.44,63.64,84,84,177,129,48,154,118,195.01,28.42,150.01,2.95012321312519
12,20,58,42,140,80,59,59,25,42.37,42.14,73.75,59,59,103,81,22,70,55,197.94,31.68,149.93,2.9793565940780553
12,20,55,42,154,87,62,62,26,41.94,40.26,71.26,62,62,118,92,26,87,62,198.38,32.3,149.22,2.9837815144623354
8,20,52,42,183,110,72,72,27,37.5,39.34,65.45,72,72,150,111,39,130,91,195.82,30.27,148.68,2.9582416797723763
10,40,58,42,118,65,49,49,20,40.82,41.53,75.38,49,49,86,69,17,60,40,180.8,19.82,147.01,2.8079822988904066
10,30,55,42,152,86,59,59,19,32.2,38.82,68.6,59,59,121,93,28,105,64,189.27,26.51,146.72,2.8927253536143014
8,50,55,42,153,66,49,49,22,44.9,32.03,74.24,49,49,122,104,18,113,45,180.47,19.38,145.73,2.804738435522212
12,40,55,42,152,61,51,51,21,41.18,33.55,83.61,51,51,112,101,11,119,28,182.63,23.43,143.73,2.8262522529107352
