fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1713686400000,1735272000000,1735286400000,1742472000000,5,20,52,42,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,67,90,0,1.0
1,1720886400000,1742472000000,1742486400000,1749672000000,5,20,52,42,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,87,109,0,1.0
2,1728086400000,1749672000000,1749686400000,1756872000000,5,20,52,42,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,113,129,0,1.0
3,1735286400000,1756872000000,1756886400000,1764072000000,5,20,52,42,-20.0,0.0,-17.38,36.62,1,0.0,1.75,3.03,89,76,66,0.82616
4,1742486400000,1764072000000,1764086400000,1771272000000,15,60,58,42,-80.93,-17.38,0.0,0.0,0,0.0,0.0,0.0,14,19,0,0.82616
