fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
8,50,55,42,82,74,60,60,33,55.0,73.17,81.08,60,60,37,22,15,19,33,146.74,19.78,118.04,2.4674464583786393
10,20,58,42,95,89,64,64,34,53.12,67.37,71.91,64,64,56,31,25,14,61,143.07,15.96,117.61,2.430692612408749
15,60,55,42,78,68,50,50,29,58.0,64.1,73.53,50,50,47,28,19,21,42,144.39,17.35,116.86,2.4438872367149984
8,30,58,45,106,84,67,67,33,49.25,63.21,79.76,67,67,57,39,18,16,41,143.96,17.2,116.78,2.4395745271165183
12,20,58,42,87,83,59,59,34,57.63,67.82,71.08,59,59,52,28,24,11,56,145.92,20.28,115.31,2.4591995412149283
12,50,58,42,79,58,51,51,28,54.9,64.56,87.93,51,51,36,28,8,15,19,141.77,19.19,112.82,2.41766363145528
15,60,52,42,86,65,53,53,28,52.83,61.63,81.54,53,53,46,33,13,20,29,138.27,17.29,110.84,2.3826658072876743
8,20,58,42,104,96,70,70,35,50.0,67.31,72.92,70,70,60,34,26,13,60,133.98,14.7,110.08,2.3397884632554233
10,20,52,42,127,112,76,76,38,50.0,59.84,67.86,76,76,86,50,36,44,85,136.48,16.95,108.51,2.3648465713418947
10,60,55,42,86,67,54,54,29,53.7,62.79,80.6,54,54,46,32,14,23,30,137.01,20.07,106.38,2.3700914932411967
5,50,58,42,87,67,59,59,29,49.15,67.82,88.06,59,59,37,28,9,10,22,134.64,19.47,105.85,2.3464103683432693
8,50,52,42,87,87,64,64,33,51.56,73.56,73.56,64,64,47,23,24,31,51,133.81,19.83,104.73,2.3381484471122382
12,30,58,42,79,66,54,54,29,53.7,68.35,81.82,54,54,38,25,13,11,32,134.91,21.36,103.62,2.349089321865789
12,40,58,42,70,63,53,53,29,54.72,75.71,84.13,53,53,28,17,11,5,23,131.79,22.28,100.61,2.3178705709487804
10,50,55,42,94,70,58,58,29,50.0,61.7,82.86,58,58,49,36,13,29,29,128.05,19.16,98.46,2.2804722305927134
8,60,52,42,89,74,60,60,31,51.67,67.42,81.08,60,60,44,29,15,28,34,129.89,22.04,97.61,2.2989439165424552
15,40,58,42,78,68,53,53,28,52.83,67.95,77.94,53,53,41,25,16,15,34,127.05,19.76,97.42,2.270493210782438
5,60,58,42,84,68,61,61,29,47.54,72.62,89.71,61,61,31,23,8,8,21,121.86,18.87,94.6,2.218630506812374
8,40,58,42,78,65,57,57,29,50.88,73.08,87.69,57,57,30,21,9,6,20,122.69,19.77,94.31,2.2269237544766525
12,40,55,42,85,66,56,56,29,51.79,65.88,84.85,56,56,40,29,11,20,23,124.66,21.46,93.03,2.2466032121491466
5,20,55,42,142,116,84,84,42,50.0,59.15,72.41,84,84,90,58,32,28,72,125.87,21.2,92.92,2.258672218875411
