symbol,data_source,bars,start_ts,end_ts,start_iso_utc,end_iso_utc,bear_start_utc,wf_folds,wf_grid_oos_return_pct,wf_grid_oos_max_dd_pct,wf_grid_oos_trades,wf_grid_oos_win_rate,wf_grid_oos_avg_entry_fill_rate,wf_grid_oos_total_capacity_reject_entries,wf_grid_oos_total_capacity_reject_exits,wf_grid_oos_total_funding_carry_pct,wf_ga_oos_return_pct,wf_ga_oos_max_dd_pct,wf_ga_oos_trades,wf_ga_oos_win_rate,wf_ga_oos_avg_entry_fill_rate,wf_ga_oos_total_capacity_reject_entries,wf_ga_oos_total_capacity_reject_exits,wf_ga_oos_total_funding_carry_pct,wf_ga_minus_grid_return_pct,preferred_method
BTC-USDT,binance,600,1768132800000,1776758400000,2026-01-11T12:00:00+00:00,2026-04-21T08:00:00+00:00,2025-10-01,3,3.2,4.45,3,66.67,55.56,0,0,-0.1849,1.23,8.36,3,66.67,55.56,0,0,-0.3197,-1.97,grid
ETH-USDT,binance,600,1768132800000,1776758400000,2026-01-11T12:00:00+00:00,2026-04-21T08:00:00+00:00,2025-10-01,3,-2.78,5.55,1,0.0,33.33,0,7,-0.1599,-2.78,5.55,1,0.0,33.33,0,7,-0.1599,0.0,grid
