symbol,bars,start_ts,end_ts,start_iso_utc,end_iso_utc,grid_top_fast,grid_top_slow,grid_top_rsi_buy,grid_top_rsi_sell,grid_top_return_pct,grid_top_max_dd_pct,grid_top_entry_fill_rate,ga_full_fast,ga_full_slow,ga_full_rsi_buy,ga_full_rsi_sell,ga_full_return_pct,ga_full_max_dd_pct,ga_full_entry_fill_rate,wf_folds,wf_grid_oos_return_pct,wf_grid_oos_max_dd_pct,wf_grid_oos_trades,wf_grid_oos_win_rate,wf_grid_oos_avg_entry_fill_rate,wf_grid_oos_avg_exit_fill_rate,wf_grid_oos_total_limit_expired,wf_ga_oos_return_pct,wf_ga_oos_max_dd_pct,wf_ga_oos_trades,wf_ga_oos_win_rate,wf_ga_oos_avg_entry_fill_rate,wf_ga_oos_avg_exit_fill_rate,wf_ga_oos_total_limit_expired,wf_ga_minus_grid_return_pct,preferred_method
ETH-USDT,1440,1756022400000,1776744000000,2025-08-24T08:00:00+00:00,2026-04-21T04:00:00+00:00,5,20,52,48,81.21,8.98,100.0,5,20,55,48,87.99,9.05,100.0,4,40.41,0.0,16,75.0,100.0,100.0,0,36.02,0.0,16,75.0,100.0,100.0,0,-4.39,grid
BNB-USDT,1440,1756022400000,1776744000000,2025-08-24T08:00:00+00:00,2026-04-21T04:00:00+00:00,5,30,52,48,76.82,7.55,100.0,5,30,52,48,67.92,7.55,100.0,4,9.71,3.38,15,33.34,100.0,100.0,0,15.12,2.27,15,40.0,100.0,100.0,0,5.41,ga
BTC-USDT,1440,1756022400000,1776744000000,2025-08-24T08:00:00+00:00,2026-04-21T04:00:00+00:00,8,20,52,48,53.19,6.79,100.0,8,20,55,48,52.68,6.79,100.0,4,5.44,2.96,20,40.0,100.0,100.0,0,7.82,4.63,20,40.0,100.0,100.0,0,2.38,ga
SOL-USDT,1440,1756022400000,1776744000000,2025-08-24T08:00:00+00:00,2026-04-21T04:00:00+00:00,5,20,52,48,55.88,11.69,100.0,5,20,52,48,65.08,11.51,100.0,4,-0.32,5.73,20,40.0,100.0,100.0,0,6.58,3.31,18,38.89,100.0,100.0,0,6.9,ga
STRK-USDT,1440,1756022400000,1776744000000,2025-08-24T08:00:00+00:00,2026-04-21T04:00:00+00:00,5,50,52,48,197.42,35.24,100.0,5,20,58,48,170.83,30.87,100.0,4,-1.98,6.71,15,33.33,100.0,100.0,0,-0.97,6.71,16,37.5,100.0,100.0,0,1.01,ga
UNI-USDT,1440,1756022400000,1776744000000,2025-08-24T08:00:00+00:00,2026-04-21T04:00:00+00:00,5,20,55,48,82.16,22.95,100.0,5,20,55,48,70.13,22.95,100.0,4,-14.11,14.11,16,43.75,100.0,100.0,0,-20.46,20.46,18,38.89,100.0,100.0,0,-6.35,grid
