fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,5,30,52,48,44.45,53.51,1.38,5.35,6,33.33,100.0,100.0,0,1.013846
1,1758902400000,1766088000000,1766102400000,1768968000000,5,20,52,48,20.2,27.96,8.72,2.87,4,50.0,100.0,100.0,0,1.102227
2,1761782400000,1768968000000,1768982400000,1771848000000,15,50,58,48,5.99,10.13,-2.27,2.27,2,0.0,100.0,100.0,0,1.077177
3,1764662400000,1771848000000,1771862400000,1774728000000,12,50,58,48,3.85,7.63,6.87,3.56,3,66.67,100.0,100.0,0,1.151193
