fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,5,20,55,48,17.69,24.26,12.59,5.86,3,100.0,100.0,100.0,0,1.125934
1,1758902400000,1766088000000,1766102400000,1768968000000,5,20,55,48,29.81,36.84,12.13,3.1,5,60.0,100.0,100.0,0,1.262499
2,1761782400000,1768968000000,1768982400000,1771848000000,5,20,52,48,23.09,30.3,2.26,2.86,4,100.0,100.0,100.0,0,1.290995
3,1764662400000,1771848000000,1771862400000,1774728000000,15,60,55,48,9.81,17.29,8.76,8.31,4,50.0,100.0,100.0,0,1.404071
