fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,12,40,52,48,25.91,32.95,-3.31,7.61,3,33.33,100.0,100.0,0,0.966941
1,1758902400000,1766088000000,1766102400000,1768968000000,8,50,58,48,13.04,18.12,10.25,4.22,6,50.0,100.0,100.0,0,1.066013
2,1761782400000,1768968000000,1768982400000,1771848000000,5,20,58,48,9.17,16.26,-2.04,7.65,3,33.33,100.0,100.0,0,1.044285
3,1764662400000,1771848000000,1771862400000,1774728000000,15,60,52,48,0.21,7.58,2.06,8.41,6,33.33,100.0,100.0,0,1.065766
