fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1756022400000,1763208000000,1763222400000,1766088000000,8,20,55,48,33.31,56.74,-1.85,3.26,1,0.0,100.0,100.0,0,0.981477
1,1758902400000,1766088000000,1766102400000,1768968000000,12,20,55,48,23.48,48.01,-5.73,10.14,5,40.0,100.0,100.0,0,0.92526
2,1761782400000,1768968000000,1768982400000,1771848000000,5,20,55,48,31.81,59.36,-1.41,6.76,4,50.0,100.0,100.0,0,0.912188
3,1764662400000,1771848000000,1771862400000,1774728000000,12,30,52,48,1.93,10.57,-5.85,9.63,6,50.0,100.0,100.0,0,0.858868
