fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1713686400000,1735272000000,1735286400000,1742472000000,5,20,55,48,172.21,178.97,23.7,7.95,14,71.43,100.0,107.69,0,1.237027
1,1720886400000,1742472000000,1742486400000,1749672000000,5,20,52,48,152.27,161.68,31.87,3.78,16,56.25,100.0,106.67,0,1.631299
2,1728086400000,1749672000000,1749686400000,1756872000000,5,20,52,48,151.51,160.94,12.49,4.6,14,42.86,100.0,107.69,0,1.835054
3,1735286400000,1756872000000,1756886400000,1764072000000,5,20,52,48,70.25,79.68,17.21,2.8,10,70.0,100.0,111.11,0,2.15095
4,1742486400000,1764072000000,1764086400000,1771272000000,8,50,52,48,71.22,75.94,0.93,5.54,13,30.77,100.0,100.0,0,2.170887
