fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1713686400000,1735272000000,1735286400000,1742472000000,15,30,52,48,223.26,232.31,17.16,25.69,11,63.64,100.0,110.0,0,1.171599
1,1720886400000,1742472000000,1742486400000,1749672000000,5,20,55,48,228.14,258.69,59.74,7.93,14,57.14,100.0,107.69,0,1.871562
2,1728086400000,1749672000000,1749686400000,1756872000000,12,20,52,48,271.27,294.54,39.49,8.29,13,53.85,100.0,108.33,0,2.610733
3,1735286400000,1756872000000,1756886400000,1764072000000,10,20,55,48,224.9,245.64,17.56,7.06,10,30.0,100.0,111.11,0,3.06918
4,1742486400000,1764072000000,1764086400000,1771272000000,5,60,52,48,263.92,277.0,0.05,11.0,11,54.55,100.0,100.0,0,3.070705
