fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_fast,best_slow,best_rsi_buy,best_rsi_sell,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,oos_equity_after_fold
0,1713686400000,1735272000000,1735286400000,1742472000000,5,20,52,48,142.71,152.48,4.39,12.48,14,57.14,100.0,107.69,0,1.043914
1,1720886400000,1742472000000,1742486400000,1749672000000,5,60,52,48,64.72,76.21,81.05,7.08,14,64.29,100.0,107.69,0,1.89004
2,1728086400000,1749672000000,1749686400000,1756872000000,5,60,52,48,189.54,201.66,79.88,8.53,14,64.29,100.0,100.0,0,3.399756
3,1735286400000,1756872000000,1756886400000,1764072000000,15,50,52,48,225.39,239.18,14.26,3.94,4,75.0,100.0,100.0,0,3.884668
4,1742486400000,1764072000000,1764086400000,1771272000000,15,50,52,48,269.33,279.3,14.34,8.71,8,62.5,100.0,100.0,0,4.441746
