fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_ma_fast,best_ma_mid,best_ma_slow,best_rsi_short,best_rsi_cover,best_vol_min_pct,best_max_hold_bars,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1745222400000,1755288000000,1755302400000,1758744000000,7,20,52,58,38,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
1,1748678400000,1758744000000,1758758400000,1762200000000,7,20,52,58,38,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2,0,1.0
2,1752134400000,1762200000000,1762214400000,1765656000000,7,20,60,62,38,0.4,48,-11.65,-1.13,5.73,6.59,2,100.0,100.0,200.0,0,0,0,1.057347
3,1755590400000,1765656000000,1765670400000,1769112000000,7,20,52,62,38,0.4,48,2.83,5.73,-11.48,12.92,1,0.0,100.0,50.0,1,0,2,0.936001
4,1759046400000,1769112000000,1769126400000,1772568000000,7,30,52,58,38,1.2,48,2.53,17.11,-4.4,11.45,1,0.0,14.29,100.0,7,11,2,0.894792
5,1762502400000,1772568000000,1772582400000,1776024000000,10,30,60,58,38,1.2,48,3.03,19.94,4.71,10.11,2,100.0,40.0,28.57,9,4,12,0.936954
