symbol,data_source,bars,start_ts,end_ts,start_iso_utc,end_iso_utc,bear_start_utc,wf_folds,wf_grid_oos_return_pct,wf_grid_oos_max_dd_pct,wf_grid_oos_trades,wf_grid_oos_win_rate,wf_grid_oos_avg_entry_fill_rate,wf_grid_oos_total_capacity_reject_entries,wf_grid_oos_total_capacity_reject_exits,wf_ga_oos_return_pct,wf_ga_oos_max_dd_pct,wf_ga_oos_trades,wf_ga_oos_win_rate,wf_ga_oos_avg_entry_fill_rate,wf_ga_oos_total_capacity_reject_entries,wf_ga_oos_total_capacity_reject_exits,wf_ga_minus_grid_return_pct,preferred_method
ETH-USDT,binance,2190,1745222400000,1776744000000,2025-04-21T08:00:00+00:00,2026-04-21T04:00:00+00:00,2025-10-01,6,11.35,11.49,9,66.67,66.67,0,4,4.23,10.32,6,50.0,44.45,0,1,-7.12,grid
BTC-USDT,binance,2190,1745222400000,1776744000000,2025-04-21T08:00:00+00:00,2026-04-21T04:00:00+00:00,2025-10-01,6,9.07,7.24,11,54.55,83.33,0,0,0.87,10.14,9,44.45,66.67,0,0,-8.2,grid
BNB-USDT,binance,2190,1745222400000,1776744000000,2025-04-21T08:00:00+00:00,2026-04-21T04:00:00+00:00,2025-10-01,6,3.84,9.37,1,100.0,8.33,20,0,7.69,3.79,1,100.0,16.67,4,0,3.85,ga
UNI-USDT,binance,2190,1745222400000,1776744000000,2025-04-21T08:00:00+00:00,2026-04-21T04:00:00+00:00,2025-10-01,6,0.0,0.0,0,0.0,0.0,46,0,0.0,0.0,0,0.0,0.0,37,0,0.0,grid
STRK-USDT,binance,2190,1745222400000,1776744000000,2025-04-21T08:00:00+00:00,2026-04-21T04:00:00+00:00,2025-10-01,6,0.0,0.0,0,0.0,0.0,34,0,0.0,0.0,0,0.0,0.0,26,0,0.0,grid
SOL-USDT,binance,2190,1745222400000,1776744000000,2025-04-21T08:00:00+00:00,2026-04-21T04:00:00+00:00,2025-10-01,6,-6.3,22.98,6,66.67,42.38,17,16,-6.75,25.25,5,60.0,46.83,17,32,-0.45,grid
